Project,DD,TAT hrs,TPF %,RCA %,IST DD,ETE DD,FTP,ST Def #,ETE Def #
282497d,2.59,31,81%,85%,2.1,0.49,205.37,68,16
,,,,,,,,,
295359,5.1,55.3,79%,61%,4.05,1.06,131.42,84,22
,,,,,,,,,
284465h,4.25,47,85%,65%,3.61,0.63,129.63,74,13
,,,,,,,,,
295960a,6.19,38,24%,65%,1.5,4.69,126.83,30,94
,,,,,,,,,
284465f,3.37,101.4,5%,37%,0.17,3.19,110.96,3,56
,,,,,,,,,
294728b,2.33,23.6,84%,81%,1.96,0.38,100.32,31,6
,,,,,,,,,
295246,2.61,65.7,76%,59%,1.99,0.62,92.01,29,9
,,,,,,,,,
296041,0,23.9,NA,0%,0,0,91.29,0,0
,,,,,,,,,
297017a,2.27,15.6,100%,59%,2.27,0,78.01,28,0
,,,,,,,,,
297409,4.1,67.8,66%,46%,2.69,1.4,54.08,23,12
,,,,,,,,,
298530,2.74,51.6,48%,73%,1.31,1.43,53.22,11,12
,,,,,,,,,
295950,1.56,38.7,50%,83%,0.78,0.78,48.78,6,6
,,,,,,,,,
282215,0.39,94.7,67%,67%,0.26,0.13,48.68,2,1
,,,,,,,,,
297185,0.29,79.4,100%,100%,0.29,0,44.25,2,0
,,,,,,,,,
295511,3.63,30.1,61%,69%,2.21,1.42,40.05,14,9
,,,,,,,,,
294739d,1.84,13.3,100%,79%,1.84,0,37.78,11,0
,,,,,,,,,
294739b,0.76,14.4,100%,75%,0.76,0,33.26,4,0
,,,,,,,,,
295536b,0.98,5.4,100%,100%,0.98,0,32.37,5,0
,,,,,,,,,
293977,1.55,31.4,29%,46%,0.44,1.11,28.52,2,5
,,,,,,,,,
297561,3.53,27,73%,69%,2.59,0.94,26.91,11,4
,,,,,,,,,
298212,1.36,0.3,100%,100%,1.36,0,23.34,5,0
,,,,,,,,,
296354,0.88,7.2,67%,33%,0.58,0.29,21.7,2,1
,,,,,,,,,
298068,2.56,27.1,50%,44%,1.28,1.28,19.78,4,4
,,,,,,,,,
298363,1.65,34.5,100%,80%,1.65,0,19.23,5,0
,,,,,,,,,
301037,0,NA,NA,NA,0,0,18.43,0,0
,,,,,,,,,
298389,1.73,29,80%,57%,1.38,0.35,18.29,4,1
,,,,,,,,,
285890b,6.26,20,67%,63%,4.17,2.09,18.19,12,6
,,,,,,,,,
299682,4.94,21.2,100%,72%,4.94,0,17.95,14,0
,,,,,,,,,
297651b,0,NA,NA,NA,0,0,17.47,0,0
,,,,,,,,,
296183e,1.45,26.3,50%,75%,0.73,0.73,17.44,2,2
,,,,,,,,,
299943,0.37,7.6,100%,100%,0.37,0,17.1,1,0
,,,,,,,,,
300375,2.02,15.1,100%,100%,2.02,0,15.65,5,0
,,,,,,,,,
299779,3.24,42.6,63%,33%,2.02,1.21,15.64,5,3
,,,,,,,,,
297620,0,NA,NA,NA,0,0,14.32,0,0
,,,,,,,,,
293971,2.28,99.7,40%,100%,0.91,1.37,13.88,2,3
,,,,,,,,,
290746b,3.65,137.1,38%,42%,1.37,2.28,13.88,3,5
,,,,,,,,,
300961,0.99,1,100%,100%,0.99,0,12.83,2,0
,,,,,,,,,
286475a,13.14,41,81%,64%,10.61,2.53,12.52,21,5
,,,,,,,,,
294356b,9.21,25.8,69%,64%,6.33,2.88,10.99,11,5
,,,,,,,,,
295965b,0,NA,NA,NA,0,0,10.39,0,0
,,,,,,,,,
299334,0.63,0,100%,100%,0.63,0,10.05,1,0
,,,,,,,,,
299834a,0,NA,NA,NA,0,0,9.79,0,0
,,,,,,,,,
277015,0,NA,NA,NA,0,0,9.19,0,0
,,,,,,,,,
295943,1.4,50.5,100%,67%,1.4,0,9.04,2,0
,,,,,,,,,
297056,0,NA,NA,NA,0,0,8.02,0,0
,,,,,,,,,
300701,0.83,56.3,0%,0%,0,0.83,7.62,0,1
,,,,,,,,,
297425a,0,NA,NA,NA,0,0,7.17,0,0
,,,,,,,,,
288990b,0,0.2,NA,100%,0,0,6.69,0,0
,,,,,,,,,
296577c,0,NA,NA,NA,0,0,6.23,0,0
,,,,,,,,,
299096,0,NA,NA,NA,0,0,5.39,0,0
,,,,,,,,,
298085,0,NA,NA,NA,0,0,5.08,0,0
,,,,,,,,,
300381,1.29,24.5,100%,100%,1.29,0,4.91,1,0
,,,,,,,,,
292964c,0,NA,NA,NA,0,0,4.36,0,0
,,,,,,,,,
300480,0,16,NA,67%,0,0,3.83,0,0
,,,,,,,,,
293996,8.28,26.3,100%,60%,8.28,0,3.82,5,0
,,,,,,,,,
294719,0,NA,NA,NA,0,0,3.7,0,0
,,,,,,,,,
300238a,0,NA,NA,NA,0,0,3.58,0,0
,,,,,,,,,
290895,0,0.1,NA,0%,0,0,3.52,0,0
,,,,,,,,,
297394,0,NA,NA,NA,0,0,3.45,0,0
,,,,,,,,,
298822b,0,NA,NA,NA,0,0,2.92,0,0
,,,,,,,,,
290573c,0,NA,NA,NA,0,0,2.27,0,0
,,,,,,,,,
282055c,0,NA,NA,NA,0,0,1.9,0,0
,,,,,,,,,
287885b,3.64,9.5,100%,100%,3.64,0,1.74,1,0
,,,,,,,,,
300569,0,NA,NA,NA,0,0,1.47,0,0
,,,,,,,,,
288896d,0,NA,NA,NA,0,0,1.1,0,0
,,,,,,,,,
294564,0,NA,NA,NA,0,0,0.94,0,0
,,,,,,,,,
296642b,0,NA,NA,NA,0,0,0.75,0,0
,,,,,,,,,
293871,0,NA,NA,NA,0,0,0.7,0,0
,,,,,,,,,
298926,0,NA,NA,NA,0,0,0.58,0,0
,,,,,,,,,
295963,0,34.9,NA,50%,0,0,0.47,0,0
,,,,,,,,,
297987a,0,NA,NA,NA,0,0,0.44,0,0
,,,,,,,,,
298480,0,NA,NA,NA,0,0,0.26,0,0
,,,,,,,,,
296228,0,NA,NA,NA,0,0,0.05,0,0
,,,,,,,,,
